Data.Fat.Total Lipid,Data.Fat.Saturated Fat,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Cholesterol,Cluster,PCA1,PCA2,Cluster_PCA,Category
4.78,0.115,2.232,0.328,0,0,-0.6754556340577965,-0.27550857515172555,1,CORIANDER LEAF
17.77,0.99,13.58,1.75,0,0,0.7758750319019021,-0.4053155241547077,2,No Category
22.27,1.535,14.04,3.279,0,0,1.133278401763533,-0.4678920457036462,2,No Category
13.81,2.237,5.551,2.557,0,0,0.2121946162219777,-0.3607315116440948,1,No Category
14.54,0.73,9.41,1.01,0,0,0.28227578805189496,-0.3494638082515723,1,No Category
4.36,0.234,0.0,0.0,0,0,-0.8706166790636849,-0.24530986264971685,1,DILL WEED
14.87,0.48,9.91,1.69,0,0,0.37073628454956725,-0.3862536135405582,1,No Category
6.41,1.46,0.0,0.0,0,0,-0.7161117302282205,-0.22455323353310866,1,No Category
0.76,0.135,0.017,0.378,0,0,-0.970010632841873,-0.2581592220238358,1,No Category
5.95,1.94,1.0,1.31,0,0,-0.5165397435325132,-0.2756242021246095,1,GINGER
32.38,9.51,11.17,4.39,0,0,1.9132953565467117,-0.35745240054419575,2,MACE
7.04,0.529,0.94,4.405,0,0,-0.3148391022423503,-0.43353579958766547,1,MARJORAM
28.76,1.46,19.83,5.39,0,0,1.951525217521428,-0.6019865190211245,2,MUSTARD SEED
36.31,25.94,3.22,0.35,0,0,2.2440342706274037,0.17092880404062913,2,NUTMEG
1.05,0.183,0.158,0.439,0,0,-0.9412866369798464,-0.26105024988854786,1,No Category
10.25,2.66,0.67,5.23,0,0,-0.007963088175682148,-0.4298717690333304,1,SPICES
12.95,2.1,1.23,8.32,0,0,0.3517209777885905,-0.5772006363926705,1,No Category
4.43,0.115,3.247,0.458,0,0,-0.6036279136247027,-0.2866478353818007,1,PARSLEY
3.26,0.98,1.01,1.13,0,0,-0.6900880364306886,-0.2828971347730212,1,PEPPER
17.27,3.26,2.75,8.37,0,0,0.6948858713148249,-0.5722093293571202,2,PEPPER
2.12,0.626,0.789,0.616,0,0,-0.8134806839448813,-0.265260715103186,1,PEPPER
41.56,4.517,5.982,28.569,0,1,3.5795847472510576,-1.4472214736862088,2,No Category
7.53,3.29,1.206,1.936,0,0,-0.3020993663928904,-0.27929859100161497,1,No Category
12.6,6.53,1.102,0.78,0,0,-0.011689290042040034,-0.1749198944103473,1,No Category
15.22,7.371,3.014,2.339,0,0,0.4068810497814739,-0.2392912907605149,2,ROSEMARY
5.85,1.586,0.429,2.067,0,0,-0.5206740979630617,-0.31052301259069015,1,No Category
12.75,7.03,1.87,1.76,0,0,0.16585209023568856,-0.21121935258995964,1,SAGE
5.91,3.26,0.0,0.0,0,0,-0.6121746441511151,-0.1892145822284587,1,SAVORY
7.24,1.881,0.474,3.698,0,0,-0.3102364210121745,-0.3753459590945054,1,SPICES
7.43,2.73,0.47,1.19,0,0,-0.4597474591481729,-0.25421724728304507,1,SPICES
9.88,3.12,1.66,2.18,0,0,-0.17787135817596691,-0.2988096981099641,1,TURMERIC
