Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
OYSTER;OYSTER,EASTERN,WILD,RAW;15167,00;0,00;0,07;0,00;0,00;0,19;53,00;65,00;0,00;68,00;0,00;0,00;0,25;0,07;0,13;0,30;0,00;30,00;0,10;2,63;0,00;0,00;3,55;0,22;0,67;0,54;0,12;10,33;1 cup;84,00;6 medium;45,00;4452,00;0,30;47,00;135,00;156,00;211,00;90,81;100,00;30,00;0,82;0,06;0,13;0,06;0,00
OYSTER;OYSTER,EASTERN,CKD,BREADED&FRIED;15168,00;0,00;0,09;0,00;0,00;0,50;81,00;0,00;0,00;197,00;0,00;0,00;0,03;0,09;0,02;0,39;0,00;91,00;0,14;2,75;0,00;0,01;64,72;4702,00;3313,00;3197,00;0,54;3,54;3 oz;88,00;6 medium;62,00;4294,00;0,32;58,00;159,00;244,00;417,00;3,63;302,00;91,00;0,67;0,06;0,13;0,00;0,00
OYSTER;OYSTER,EASTERN,WILD,CKD,MOIST HEAT;15169,00;0,00;0,14;0,00;0,00;0,35;105,00;0,00;0,00;137,00;0,00;0,00;0,48;2484,00;0,24;0,58;0,00;54,00;0,13;2,96;0,00;0,01;2,94;0,44;1936,00;1544,00;0,23;3,54;3 oz;42,00;6 medium;90,00;7569,00;0,53;95,00;203,00;281,00;422,00;181,61;180,00;54,00;1,46;0,08;0,25;0,00;0,00
OYSTER;OYSTER,EASTERN,CANNED;15170,00;0,00;0,07;0,00;0,00;0,19;55,00;81,00;0,00;69,00;0,00;0,00;0,03;1244,00;0,01;0,30;0,00;90,00;0,12;1,46;0,00;0,01;3,55;0,02;0,51;0,44;0,12;6,75;1 cup,  drained;248,00;1 cup,  undrained;45,00;4461,00;0,25;54,00;139,00;229,00;112,00;90,95;300,00;90,00;0,80;0,10;0,21;0,06;0,00
OYSTER;OYSTER,PACIFIC,RAW;15171,00;0,00;0,06;0,00;0,00;0,23;50,00;0,00;0,00;81,00;0,00;0,00;0,45;0,08;0,00;0,41;0,00;81,00;0,16;3,21;0,00;0,07;3,42;0,25;0,62;0,04;0,09;2,08;1 medium;85,00;3 oz;8,00;1576,00;0,22;22,00;162,00;168,00;106,00;0,71;270,00;81,00;0,67;0,00;0,33;0,00;0,00
SCALLOP;SCALLOP,MIXED SPECIES,RAW;15172,00;0,00;0,08;0,00;0,00;0,11;33,00;65,00;0,00;88,00;0,00;0,00;0,01;0,05;0,10;0,72;0,00;15,00;0,07;0,92;0,00;0,01;3,29;0,04;0,18;0,08;0,05;1,25;1 unit,  2 large or 5 small;85,00;3 oz;24,00;0,05;0,02;56,00;219,00;322,00;161,00;0,07;50,00;15,00;0,08;0,01;0,13;0,00;0,00
SCALLOP;SCALLOP,MXD SP,CKD,BREADED&FRIED;15173,00;0,00;0,10;0,00;0,00;0,43;61,00;0,00;0,00;215,00;0,00;0,00;0,01;1505,00;0,00;0,75;0,00;23,00;0,01;1,09;0,00;0,04;2,45;4498,00;2856,00;2669,00;0,48;1,29;2 large;0,00;;42,00;0,08;0,06;59,00;236,00;333,00;464,00;0,05;75,00;23,00;0,06;0,01;0,09;0,00;0,00
SCALLOP;SCALLOP,MXD SP,IMITN,MADE FROM SURIMI;15174,00;0,00;0,11;0,00;0,00;0,46;22,00;0,00;0,00;99,00;0,00;0,00;0,01;0,02;0,00;0,55;0,00;20,00;0,02;0,96;0,00;0,00;73,82;0,00;0,01;0,01;0,03;3,54;3 oz;0,00;;8,00;0,03;0,02;43,00;282,00;103,00;795,00;0,02;66,00;20,00;0,05;0,00;0,00;0,00;0,00
SQUID;SQUID,MIXED SPECIES,RAW;15175,00;0,00;0,07;0,00;0,00;0,13;233,00;65,00;0,00;92,00;0,00;0,00;0,04;2175,00;0,00;0,67;0,00;10,00;0,29;1,84;0,00;0,00;3,29;0,07;0,36;0,25;0,07;1,19;1 oz, boneless;85,00;3 oz;32,00;1891,00;0,05;33,00;221,00;246,00;44,00;0,08;33,00;10,00;0,04;0,06;0,17;0,04;0,00
SQUID;SQUID,MXD SP,CKD,FRIED;15176,00;0,00;0,08;0,00;0,00;0,35;260,00;0,00;0,00;175,00;0,00;0,00;0,00;2602,00;0,04;0,77;0,00;11,00;0,32;2,13;0,00;0,06;2,70;2749,00;2136,00;1878,00;0,33;3,54;3 oz;0,00;;39,00;2114,00;0,04;38,00;251,00;279,00;306,00;0,09;35,00;11,00;0,06;0,06;0,17;0,00;0,00
WHELK;WHELK,UNSPECIFIED,RAW;15177,00;0,00;0,08;0,00;0,00;0,34;65,00;65,00;0,00;137,00;0,00;0,00;0,31;0,05;0,14;1,02;0,00;26,00;0,07;1,84;0,00;0,03;2,75;0,03;0,02;0,03;0,00;3,54;3 oz;0,00;;57,00;0,04;0,21;86,00;141,00;347,00;206,00;0,09;87,00;26,00;0,38;0,24;0,17;0,01;0,00
WHELK;WHELK,UNSPEC,CKD,MOIST HEAT;15178,00;0,00;0,17;0,00;0,00;0,66;130,00;0,00;0,00;275,00;0,00;0,00;0,06;1995,00;0,00;47,68;0,00;49,00;0,15;3,71;0,00;0,05;1,33;0,06;0,05;0,06;0,01;3,54;3 oz;0,00;;113,00;0,09;0,42;172,00;282,00;694,00;412,00;0,14;162,00;49,00;0,76;0,05;0,26;0,00;0,00
SALMON;SALMON,CHINOOK,SMOKED,(LOX),REG;15179,00;0,00;0,13;0,00;0,00;0,00;23,00;0,00;0,00;117,00;0,00;0,00;0,02;0,22;0,06;0,77;0,00;26,00;0,07;1,58;0,00;0,02;3,00;2023,00;0,69;0,65;0,19;1,19;1 oz;85,00;3 oz;11,00;0,02;0,06;18,00;164,00;175,00;2000,00;0,02;88,00;26,00;0,14;0,19;0,00;0,00;0,00
SALMON;SALMON,CHUM,CND,WO/SALT,DRND SOL W/BONE;15180,00;0,00;0,12;0,00;0,00;0,00;39,00;0,00;0,00;141,00;0,00;0,00;0,00;0,29;0,04;0,90;0,00;18,00;0,01;1,79;0,00;0,00;70,77;1919,00;1517,00;1486,00;0,21;15,38;1 can;85,00;3 oz;249,00;0,00;0,00;30,00;354,00;300,00;75,00;0,04;61,00;18,00;0,17;0,03;0,00;0,00;0,00
SALMON;SALMON,PINK,CND,WO/SALT,SOL W/BONE&LIQ;15181,00;0,00;0,07;0,00;0,00;0,00;55,00;0,00;0,00;139,00;0,00;0,00;0,00;6536,00;0,04;0,85;0,00;17,00;0,13;1,38;0,00;0,02;2,92;1825,00;2049,00;1535,00;0,25;18,92;1 can;85,00;3 oz;213,00;0,07;0,06;34,00;329,00;326,00;75,00;0,06;55,00;17,00;0,17;0,00;0,00;0,00;0,00
SALMON;SALMON,SOCKEYE,CND,WO/SALT,DRND SOL W/BONE;15182,00;0,00;0,09;0,00;0,00;0,00;44,00;0,00;0,00;153,00;0,00;0,00;0,00;0,24;0,04;0,87;0,00;53,00;0,13;1,46;0,00;0,02;68,72;2776,00;2277,00;1644,00;0,31;15,38;1 can;85,00;3 oz;239,00;0,08;0,05;29,00;326,00;377,00;75,00;0,04;176,00;53,00;0,00;0,00;0,00;0,00;0,00
TUNA;TUNA,LT,CND IN OIL,WO/SALT,DRND SOL;15183,00;0,00;0,14;0,00;0,00;0,00;18,00;0,00;0,00;198,00;0,00;0,00;0,02;0,50;0,03;1,22;0,00;0,00;0,01;3,17;0,00;0,04;59,83;2949,00;2885,00;1534,00;0,35;7,13;1 can;85,00;3 oz;13,00;0,07;0,07;31,00;311,00;207,00;50,00;0,01;78,00;0,00;0,08;0,01;0,00;0,00;0,00
TUNA;TUNA,LT,CND IN H2O,WO/SALT,DRND SOL;15184,00;0,00;0,05;0,00;0,00;0,00;30,00;0,00;0,00;116,00;0,00;0,00;0,01;0,56;0,15;1,08;0,00;0,00;0,07;3,34;0,00;0,03;3,14;0,11;0,23;0,16;0,06;6,88;1 can;85,00;3 oz;11,00;0,05;0,08;27,00;163,00;237,00;50,00;0,05;56,00;0,00;0,15;0,02;0,00;0,00;0,00
TUNA;TUNA,WHITE,CND IN OIL,WO/SALT,DRND SOL;15185,00;0,00;0,10;0,00;0,00;0,00;31,00;0,00;0,00;186,00;0,00;0,00;0,02;11698,00;0,03;1,12;0,00;0,00;0,08;2,50;0,00;0,02;2,67;0,12;0,15;0,09;0,34;7,42;1 can;85,00;3 oz;4,00;0,01;0,05;34,00;267,00;333,00;50,00;0,03;80,00;0,00;0,08;0,03;0,00;0,00;0,00
TUNA;TUNA,WHITE,CND IN H2O,WO/SALT,DRND SOL;15186,00;0,00;0,04;0,00;0,00;0,00;42,00;0,00;0,00;128,00;0,00;0,00;0,02;5799,00;0,09;1,00;0,00;6,00;0,04;2,71;0,00;0,01;3,08;0,54;1109,00;0,55;0,15;7,17;1 can;85,00;3 oz;14,00;0,04;0,07;33,00;217,00;237,00;50,00;0,03;19,00;6,00;0,05;0,15;0,00;0,00;0,00
BASS;BASS,FRESHWATER,MXD SP,CKD,DRY HEAT;15187,00;0,00;0,11;0,00;0,00;0,00;87,00;0,00;0,00;146,00;0,00;0,00;0,05;1522,00;0,60;1,01;0,00;35,00;0,01;0,67;0,00;0,09;68,79;1835,00;0,07;1001,00;0,22;2,58;1 fillet;85,00;3 oz;103,00;0,08;0,10;38,00;256,00;456,00;90,00;0,06;115,00;35,00;0,10;0,10;0,08;0,00;0,00
BASS;BASS,STRIPED,CKD,DRY HEAT;15188,00;0,00;0,06;0,00;0,00;0,00;103,00;0,00;0,00;124,00;0,00;0,00;0,02;2558,00;0,60;0,97;0,00;31,00;0,04;1,92;0,00;0,08;3,07;0,59;1005,00;0,05;0,15;5,17;1 fillet;85,00;3 oz;19,00;0,00;0,05;51,00;254,00;328,00;88,00;0,04;104,00;31,00;0,20;0,24;0,00;0,00;0,00
BLUEFISH;BLUEFISH,COOKED,DRY HEAT;15189,00;0,00;0,06;0,00;0,00;0,00;76,00;0,00;0,00;159,00;0,00;0,00;0,03;7247,00;0,66;25,69;0,00;138,00;0,10;1,92;0,00;0,07;62,64;2297,00;1358,00;1172,00;0,24;4,88;1 fillet;85,00;3 oz;9,00;0,07;0,04;42,00;291,00;477,00;77,00;0,04;459,00;138,00;0,27;0,32;0,00;0,00;0,00
BURBOT;BURBOT,COOKED,DRY HEAT;15190,00;0,00;0,08;0,00;0,00;0,00;77,00;0,00;0,00;115,00;0,00;0,00;0,62;1973,00;0,12;24,76;0,00;5,00;0,12;0,67;0,00;0,30;3,07;0,01;0,26;0,15;0,04;3,75;1 fillet;85,00;3 oz;64,00;0,18;0,05;41,00;256,00;518,00;124,00;0,07;17,00;5,00;0,06;0,24;0,00;0,00;0,00
BUTTERFISH;BUTTERFISH,CKD,DRY HEAT;15191,00;0,00;0,08;0,00;0,00;0,00;83,00;0,00;0,00;187,00;0,00;0,00;0,02;5769,00;0,60;0,93;0,00;33,00;0,13;1,92;0,00;0,10;66,83;0,00;0,00;0,00;0,44;1,04;1 fillet;85,00;3 oz;28,00;0,07;0,04;32,00;308,00;481,00;114,00;0,07;109,00;33,00;0,10;0,24;0,00;0,00;0,00
COD;COD,PACIFIC,CKD,DRY HEAT;15192,00;0,00;0,08;0,00;0,00;0,00;47,00;0,00;0,00;105,00;0,00;0,00;0,02;2485,00;0,11;0,98;0,00;10,00;0,05;1,92;0,00;0,03;3,17;0,07;0,22;0,07;0,06;3,75;1 fillet;85,00;3 oz;9,00;0,03;0,02;31,00;223,00;517,00;91,00;0,04;32,00;10,00;0,04;0,32;0,13;0,00;0,00
CUSK;CUSK,COOKED,DRY HEAT;15193,00;0,00;0,05;0,00;0,00;0,00;53,00;0,00;0,00;112,00;0,00;0,00;0,02;3271,00;0,22;1,02;0,00;21,00;0,11;1,92;0,00;0,05;69,68;0,00;0,00;0,00;0,06;3,96;1 fillet;85,00;3 oz;13,00;0,02;0,05;40,00;262,00;503,00;40,00;0,03;69,00;21,00;0,04;0,31;0,00;0,00;0,00
DOLPHINFISH;DOLPHINFISH,CKD,DRY HEAT;15194,00;0,00;0,13;0,00;0,00;0,00;94,00;0,00;0,00;109,00;0,00;0,00;0,02;7429,00;0,60;1,01;0,00;62,00;0,09;1,92;0,00;0,02;2,97;0,11;0,15;0,17;0,01;6,63;1 fillet;85,00;3 oz;19,00;0,05;0,07;38,00;183,00;533,00;113,00;0,04;208,00;62,00;0,05;0,32;0,00;0,00;0,00
DRUM;DRUM,FRESHWATER,CKD,DRY HEAT;15195,00;0,00;0,07;0,00;0,00;0,00;82,00;0,00;0,00;153,00;0,00;0,00;0,62;2862,00;0,60;0,95;0,00;59,00;0,14;0,67;0,00;0,08;70,94;2807,00;1479,00;1434,00;0,27;6,42;1 fillet;85,00;3 oz;77,00;0,21;0,05;38,00;231,00;353,00;96,00;0,06;196,00;59,00;0,10;0,24;0,04;0,00;0,00
HALIBUT;HALIBUT,GREENLAND,CKD,DRY HEAT;15196,00;0,00;0,06;0,00;0,00;0,00;59,00;0,00;0,00;239,00;0,00;0,00;0,02;1923,00;0,20;0,78;0,00;18,00;0,07;1,92;0,00;0,07;61,88;10742,00;1753,00;3102,00;0,76;6,63;,5 fillet;85,00;3 oz;4,00;0,04;0,06;33,00;210,00;344,00;103,00;0,04;60,00;18,00;0,07;0,34;0,00;0,00;0,00
HERRING;HERRING,PACIFIC,CKD,DRY HEAT;15197,00;0,00;0,13;0,00;0,00;0,00;99,00;0,00;0,00;250,00;0,00;0,00;0,06;2821,00;1154,00;0,88;0,00;35,00;0,18;1,92;0,00;0,07;2,66;8807,00;3106,00;4174,00;0,76;6,00;1 fillet;85,00;3 oz;106,00;0,00;0,07;41,00;292,00;542,00;95,00;0,05;116,00;35,00;0,42;0,36;0,00;0,00;0,00
LING;LING,COOKED,DRY HEAT;15198,00;0,00;0,10;0,00;0,00;0,00;51,00;0,00;0,00;111,00;0,00;0,00;0,04;2801,00;0,26;1,02;0,00;35,00;0,16;1,92;0,00;0,09;73,88;0,00;0,00;0,00;0,06;6,29;1 fillet;85,00;3 oz;44,00;0,10;0,06;81,00;254,00;486,00;173,00;0,04;115,00;35,00;0,05;0,24;0,00;0,00;0,00
LINGCOD;LINGCOD,COOKED,DRY HEAT;15199,00;0,00;0,08;0,00;0,00;0,00;67,00;0,00;0,00;109,00;0,00;0,00;0,03;2314,00;0,60;0,96;0,00;17,00;0,10;1,92;0,00;0,04;75,68;0,31;0,27;0,18;0,07;6,29;,5 fillet;85,00;3 oz;18,00;0,04;0,03;33,00;258,00;560,00;76,00;0,04;58,00;17,00;0,18;0,24;0,00;0,00;0,00
MACKEREL;MACKEREL,KING,CKD,DRY HEAT;15200,00;0,00;0,09;0,00;0,00;0,00;68,00;0,00;0,00;134,00;0,00;0,00;0,01;10462,00;0,67;1,08;0,00;252,00;0,04;1,92;0,00;0,08;2,88;0,68;0,41;0,32;0,12;6,42;,5 fillet;85,00;3 oz;40,00;0,03;0,10;41,00;318,00;558,00;203,00;0,05;839,00;252,00;0,75;0,04;0,05;0,00;0,00
MACKEREL;MACKEREL,PACIFIC&JACK,MXD SP,CKD,DRY HEAT;15201,00;0,00;0,09;0,00;0,00;0,00;60,00;81,00;0,00;201,00;0,00;0,00;0,02;10667,00;0,25;25,73;0,00;16,00;0,04;1,92;0,00;0,09;61,73;3371,00;2488,00;2881,00;0,43;1,19;1 oz, boneless;17,00;1 cubic inch, boneless;29,00;0,08;0,08;36,00;160,00;521,00;110,00;0,06;54,00;16,00;0,18;0,26;0,08;0,06;0,00
MILKFISH;MILKFISH,COOKED,DRY HEAT;15202,00;0,00;0,07;0,00;0,00;0,00;67,00;0,00;0,00;190,00;0,00;0,00;0,03;8256,00;0,60;1,11;0,00;33,00;0,07;0,67;0,00;0,02;62,63;0,00;0,00;0,00;0,38;3,54;3 oz;0,00;;65,00;0,04;0,03;38,00;208,00;374,00;92,00;0,05;109,00;33,00;0,14;0,34;0,00;0,00;0,00
MONKFISH;MONKFISH,COOKED,DRY HEAT;15203,00;0,00;0,08;0,00;0,00;0,00;32,00;0,00;0,00;97,00;0,00;0,00;0,03;2558,00;0,12;0,79;0,00;14,00;0,07;1,92;0,00;0,03;3,29;0,00;0,00;0,00;0,11;3,54;3 oz;0,00;;10,00;0,04;0,03;27,00;256,00;513,00;23,00;0,04;46,00;14,00;0,04;0,19;0,04;0,00;0,00
PIKE;PIKE,WALLEYE,CKD,DRY HEAT;15204,00;0,00;0,08;0,00;0,00;0,00;110,00;0,00;0,00;119,00;0,00;0,00;1026,00;2801,00;0,60;1,04;0,00;24,00;0,14;0,67;0,00;0,22;3,07;0,26;0,40;0,22;0,08;5,17;1 fillet;85,00;3 oz;141,00;0,16;0,09;38,00;269,00;499,00;65,00;0,05;81,00;24,00;0,10;0,10;0,00;0,00;0,00
POLLOCK;POLLOCK,ATLANTIC,CKD,DRY HEAT;15205,00;0,00;0,10;0,00;0,00;0,00;91,00;0,00;0,00;118,00;0,00;0,00;0,02;3983,00;0,29;24,92;0,00;12,00;0,16;1,92;0,00;0,05;3,00;0,10;0,43;0,01;0,06;6,29;,5 fillet;85,00;3 oz;77,00;0,06;0,04;86,00;283,00;456,00;110,00;0,00;40,00;12,00;0,17;0,23;0,00;0,00;0,00
POUT;POUT,OCEAN,CKD,DRY HEAT;15206,00;0,00;0,07;0,00;0,00;0,00;67,00;0,00;0,00;102,00;0,00;0,00;0,02;2558,00;0,12;0,90;0,00;14,00;0,07;1,92;0,00;0,09;3,17;0,29;0,04;0,03;0,05;5,71;,5 fillet;85,00;3 oz;13,00;0,04;0,03;17,00;256,00;513,00;78,00;0,06;46,00;14,00;0,04;0,19;0,00;0,00;0,00
ROE;ROE,MXD SP,CKD,DRY HEAT;15207,00;0,00;0,09;0,00;0,00;0,11;479,00;0,00;0,00;204,00;0,00;0,00;0,01;2192,00;1154,00;28,62;0,00;91,00;0,66;2,13;0,00;0,19;58,63;2129,00;3404,00;1866,00;0,35;1,19;1 oz;85,00;3 oz;28,00;0,09;0,05;26,00;515,00;283,00;117,00;0,06;303,00;91,00;0,50;0,13;0,67;0,00;0,00
SABLEFISH;SABLEFISH,COOKED,DRY HEAT;15208,00;0,00;0,07;0,00;0,00;0,00;63,00;0,00;0,00;250,00;0,00;0,00;0,02;5128,00;0,60;0,72;0,00;102,00;0,08;1,92;0,00;0,08;62,85;10328,00;2618,00;4099,00;0,83;6,29;,5 fillet;85,00;3 oz;45,00;0,03;0,09;71,00;215,00;459,00;72,00;0,03;338,00;102,00;0,07;0,24;0,00;0,00;0,00
SALMON;SALMON,ATLANTIC,WILD,CKD,DRY HEAT;15209,00;0,00;0,14;0,00;0,00;0,00;71,00;0,00;0,00;182,00;0,00;0,00;0,02;10077,00;0,11;1,07;0,00;13,00;0,34;1,92;0,00;0,19;59,62;2697,00;3256,00;1257,00;0,34;6,42;,5 fillet;85,00;3 oz;15,00;0,22;0,04;37,00;256,00;628,00;56,00;0,06;44,00;13,00;0,13;0,66;0,00;0,00;0,00
SALMON;SALMON,CHINOOK,CKD,DRY HEAT;15210,00;0,00;0,09;0,00;0,00;0,00;85,00;0,00;0,00;231,00;0,00;0,00;0,02;10045,00;0,60;25,72;0,00;149,00;0,11;1,92;0,00;0,04;2,71;5742,00;2662,00;3214,00;0,57;6,42;,5 fillet;85,00;3 oz;28,00;0,05;0,06;122,00;371,00;505,00;60,00;0,04;496,00;149,00;0,14;0,32;0,17;0,00;0,00
SALMON;SALMON,CHUM,CKD,DRY HEAT;15211,00;0,00;0,08;0,00;0,00;0,00;95,00;0,00;0,00;154,00;0,00;0,00;0,02;8526,00;0,60;25,82;0,00;34,00;0,15;1,92;0,00;0,09;2,86;1976,00;1152,00;1077,00;0,22;6,42;,5 fillet;85,00;3 oz;14,00;0,07;0,05;28,00;363,00;550,00;64,00;0,00;114,00;34,00;0,16;0,32;0,00;0,00;0,00
SALMON;SALMON,PINK,CKD,DRY HEAT;15212,00;0,00;0,08;0,00;0,00;0,00;67,00;0,00;0,00;149,00;0,00;0,00;0,02;8526,00;0,60;1,08;0,00;41,00;0,07;2,38;0,00;0,14;69,68;1197,00;1733,00;0,50;0,20;5,17;,5 fillet;85,00;3 oz;17,00;0,10;0,07;33,00;295,00;414,00;86,00;0,05;136,00;41,00;0,16;0,16;0,00;0,00;0,00
SCUP;SCUP,COOKED,DRY HEAT;15213,00;0,00;0,08;0,00;0,00;0,00;67,00;0,00;0,00;135,00;0,00;0,00;0,05;4994,00;0,60;1,01;0,00;31,00;0,08;1,92;0,00;0,09;2,86;0,00;0,00;0,00;0,13;2,08;1 fillet;85,00;3 oz;51,00;0,07;0,05;29,00;237,00;368,00;54,00;0,04;104,00;31,00;0,08;0,24;0,00;0,00;0,00
SEATROUT;SEATROUT,MXD SP,CKD,DRY HEAT;15214,00;0,00;0,08;0,00;0,00;0,00;106,00;0,00;0,00;133,00;0,00;0,00;0,02;2923,00;0,60;0,91;0,00;35,00;0,14;1,92;0,00;0,07;71,91;1133,00;0,65;1293,00;0,21;7,75;1 fillet;85,00;3 oz;22,00;0,04;0,02;40,00;321,00;437,00;74,00;0,04;115,00;35,00;0,16;0,32;0,00;0,00;0,00
SHAD;SHAD,AMERICAN,CKD,DRY HEAT;15215,00;0,00;0,09;0,00;0,00;0,00;96,00;0,00;0,00;252,00;0,00;0,00;0,05;10769,00;0,60;0,92;0,00;36,00;0,21;1,92;0,00;0,13;2,47;0,00;0,00;0,00;0,75;6,00;1 fillet;85,00;3 oz;60,00;0,08;0,06;38,00;349,00;492,00;65,00;0,03;120,00;36,00;0,01;0,32;0,00;0,00;0,00
SPOT;SPOT,COOKED,DRY HEAT;15216,00;0,00;0,07;0,00;0,00;0,00;77,00;0,00;0,00;158,00;0,00;0,00;0,05;8526,00;0,60;1,01;0,00;35,00;0,19;1,92;0,00;0,13;2,89;1706,00;1398,00;1859,00;0,27;2,08;1 fillet;85,00;3 oz;18,00;0,06;0,03;54,00;238,00;636,00;37,00;0,05;115,00;35,00;0,16;0,32;0,00;0,00;0,00
SUCKER;SUCKER,WHITE,CKD,DRY HEAT;15217,00;0,00;0,10;0,00;0,00;0,00;53,00;0,00;0,00;119,00;0,00;0,00;0,53;1462,00;0,60;0,91;0,00;59,00;0,09;0,67;0,00;0,01;73,99;0,63;1035,00;0,40;0,15;5,17;1 fillet;85,00;3 oz;90,00;0,02;0,09;38,00;269,00;487,00;51,00;0,07;196,00;59,00;0,10;0,16;0,00;0,00;0,00
SUNFISH;SUNFISH,PUMPKIN SD,CKD,DRY HEAT;15218,00;0,00;0,07;0,00;0,00;0,00;86,00;0,00;0,00;114,00;0,00;0,00;0,62;1462,00;0,60;24,87;0,00;17,00;0,09;0,67;0,00;0,09;73,72;0,01;0,22;0,12;0,01;1,54;1 fillet;85,00;3 oz;103,00;0,27;0,08;38,00;231,00;449,00;103,00;0,11;58,00;17,00;0,10;0,10;0,04;0,00;0,00
TROUT;TROUT,MXD SP,CKD,DRY HEAT;15219,00;0,00;0,05;0,00;0,00;0,00;74,00;0,00;0,00;190,00;0,00;0,00;1091,00;5769,00;2238,00;26,63;0,00;19,00;0,29;0,67;0,00;0,30;2,65;4172,00;1922,00;1474,00;0,37;2,58;1 fillet;85,00;3 oz;55,00;0,17;0,11;28,00;314,00;463,00;67,00;0,06;63,00;19,00;0,33;0,16;0,00;0,00;0,00
TUNA;TUNA,SKIPJACK,FRSH,CKD,DRY HEAT;15220,00;0,00;0,09;0,00;0,00;0,00;60,00;0,00;0,00;132,00;0,00;0,00;0,02;18756,00;0,34;1,18;0,00;18,00;0,08;1,92;0,00;0,04;2,60;0,17;0,28;0,03;0,06;6,42;,5 fillet;85,00;3 oz;37,00;0,01;0,05;44,00;285,00;522,00;47,00;0,05;60,00;18,00;0,10;0,68;0,04;0,00;0,00
TUNA;TUNA,YELLOWFIN,FRSH,CKD,DRY HEAT;15221,00;0,00;0,09;0,00;0,00;0,00;58,00;0,00;0,00;139,00;0,00;0,00;0,02;11936,00;0,60;29,97;0,00;20,00;0,06;1,92;0,00;0,35;62,81;0,14;0,25;0,21;0,06;3,54;3 oz;0,00;;21,00;0,08;0,07;64,00;245,00;569,00;47,00;0,05;68,00;20,00;0,00;1038,00;0,04;0,00;0,00
TURBOT;TURBOT,EUROPEAN,CKD,DRY HEAT;15222,00;0,00;0,13;0,00;0,00;0,00;62,00;0,00;0,00;122,00;0,00;0,00;0,02;2679,00;0,46;0,87;0,00;12,00;0,10;1,92;0,00;0,08;2,95;0,00;0,00;0,00;0,18;6,63;,5 fillet;85,00;3 oz;23,00;0,05;0,03;65,00;165,00;305,00;192,00;0,02;40,00;12,00;0,12;0,17;0,05;0,00;0,00
WHITEFISH;WHITEFISH,MXD SP,CKD,DRY HEAT;15223,00;0,00;0,07;0,00;0,00;0,00;77,00;0,00;0,00;172,00;0,00;0,00;0,09;3846,00;0,60;1,03;0,00;39,00;0,11;0,67;0,00;0,12;2,71;2559,00;2755,00;1162,00;0,33;6,42;1 fillet;85,00;3 oz;33,00;0,09;0,03;42,00;346,00;406,00;65,00;0,06;131,00;39,00;0,07;0,24;0,00;0,00;0,00
WOLFFISH;WOLFFISH,ATLANTIC,CKD,DRY HEAT;15224,00;0,00;0,08;0,00;0,00;0,00;59,00;0,00;0,00;123,00;0,00;0,00;0,02;2598,00;0,46;0,95;0,00;130,00;0,10;1,92;0,00;0,14;3,10;1072,00;1083,00;0,33;0,13;4,96;,5 fillet;85,00;3 oz;8,00;0,04;0,01;38,00;256,00;385,00;109,00;0,04;433,00;130,00;0,11;0,32;0,00;0,00;0,00
YELLOWTAIL;YELLOWTAIL,MXD SP,CKD,DRY HEAT;15225,00;0,00;0,04;0,00;0,00;0,00;71,00;0,00;0,00;187,00;0,00;0,00;0,02;8718,00;0,47;29,67;0,00;31,00;0,05;1,92;0,00;0,12;2,81;0,00;0,00;0,00;0,30;6,08;,5 fillet;85,00;3 oz;29,00;0,06;0,04;38,00;201,00;538,00;50,00;0,05;104,00;31,00;0,06;0,13;0,09;0,00;0,00
CRAB;CRAB,DUNGENESS,CKD,MOIST HEAT;15226,00;0,00;0,10;0,00;0,00;0,07;76,00;0,00;0,00;110,00;0,00;0,00;0,10;3623,00;0,28;0,94;0,00;31,00;0,14;1,96;0,00;0,06;3,06;0,15;0,28;0,12;0,06;3,54;3 oz;127,00;1 crab;59,00;0,51;0,03;58,00;175,00;408,00;378,00;0,24;104,00;31,00;0,44;0,12;0,13;0,00;0,00
