Category;Description;Nutrient Data Bank Number;Data,Alpha Carotene;Data,Ash;Data,Beta Carotene;Data,Beta Cryptoxanthin;Data,Carbohydrate;Data,Cholesterol;Data,Choline;Data,Fiber;Data,Kilocalories;Data,Lutein and Zeaxanthin;Data,Lycopene;Data,Manganese;Data,Niacin;Data,Pantothenic Acid;Data,Protein;Data,Refuse Percentage;Data,Retinol;Data,Riboflavin;Data,Selenium;Data,Sugar Total;Data,Thiamin;Data,Water;Data,Fat,Monosaturated Fat;Data,Fat,Polysaturated Fat;Data,Fat,Saturated Fat;Data,Fat,Total Lipid;Data,Household Weights,1st Household Weight;Data,Household Weights,1st Household Weight Description;Data,Household Weights,2nd Household Weight;Data,Household Weights,2nd Household Weight Description;Data,Major Minerals,Calcium;Data,Major Minerals,Copper;Data,Major Minerals,Iron;Data,Major Minerals,Magnesium;Data,Major Minerals,Phosphorus;Data,Major Minerals,Potassium;Data,Major Minerals,Sodium;Data,Major Minerals,Zinc;Data,Vitamins,Vitamin A - IU;Data,Vitamins,Vitamin A - RAE;Data,Vitamins,Vitamin B12;Data,Vitamins,Vitamin B6;Data,Vitamins,Vitamin C;Data,Vitamins,Vitamin E;Data,Vitamins,Vitamin K
CHEESE;CHEESE,PARMESAN,GRATED;1032,00;0,00;0,34;31,00;0,00;0,17;88,00;15,00;0,00;431,00;0,00;0,00;0,09;0,08;0,23;1,62;0,00;117,00;0,34;0,71;0,90;0,03;0,89;8375,00;1173,00;17301,00;28,61;4,17;1 cup;5,00;1 tbsp;1109,00;0,17;0,01;38,00;729,00;125,00;1529,00;0,19;442,00;120,00;0,10;0,05;0,00;0,02;0,05
CHEESE;CHEESE,PARMESAN,HARD;1033,00;0,00;0,25;28,00;0,00;0,14;68,00;15,00;0,00;392,00;0,00;0,00;0,00;0,19;0,31;35,75;0,00;106,00;0,23;0,92;0,80;0,04;1,22;7515,00;0,40;0,70;25,83;1,19;1 oz;10,00;1 cubic inch;1184,00;0,03;0,06;44,00;694,00;92,00;1602,00;0,14;399,00;108,00;0,04;0,09;0,00;0,02;0,05
CHEESE;CHEESE,PORT DE SALUT;1034,00;0,00;0,08;29,00;0,00;0,04;123,00;15,00;0,00;352,00;0,00;0,00;0,01;0,00;0,01;1,01;0,00;313,00;0,02;0,59;0,57;0,01;1,91;9338,00;0,51;16691,00;1,17;5,50;1 cup, diced;113,00;1 cup, shredded;650,00;0,02;0,03;24,00;360,00;136,00;534,00;0,09;1092,00;315,00;0,05;0,05;0,00;0,02;0,09
CHEESE;CHEESE,PROVOLONE;1035,00;0,00;0,22;68,00;0,00;0,09;69,00;15,00;0,00;351,00;0,00;0,00;0,00;0,11;0,33;1,08;0,00;230,00;0,22;0,59;0,56;0,02;40,95;7393,00;0,53;17078,00;26,62;5,50;1 cup, diced;28,00;1 oz;756,00;0,03;0,04;28,00;496,00;138,00;876,00;0,14;880,00;236,00;0,07;0,07;0,00;0,02;0,08
CHEESE;CHEESE,RICOTTA,WHOLE MILK;1036,00;0,00;0,04;33,00;0,00;0,13;51,00;18,00;0,00;174,00;0,00;0,00;0,01;0,07;0,15;0,48;0,00;117,00;0,14;0,59;0,27;0,01;2,96;3627,00;0,27;8295,00;0,57;10,25;1 cup;124,00;,5 cup;207,00;0,02;0,03;11,00;158,00;105,00;84,00;0,05;445,00;120,00;0,02;0,04;0,00;0,01;0,04
CHEESE;CHEESE,RICOTTA,PART SKIM MILK;1037,00;0,00;0,05;20,00;0,00;0,22;31,00;18,00;0,00;138,00;0,00;0,00;0,00;0,08;0,17;0,49;0,00;105,00;0,13;0,67;0,31;0,02;3,11;2314,00;0,02;4927,00;0,35;10,25;1 cup;28,00;1 oz;272,00;0,03;0,03;15,00;183,00;125,00;125,00;0,07;384,00;107,00;0,02;0,00;0,00;0,00;0,00
CHEESE;CHEESE,ROMANO;1038,00;0,00;0,30;69,00;0,00;0,17;104,00;15,00;0,00;387,00;0,00;0,00;0,00;0,08;0,29;1,30;0,00;90,00;0,03;0,59;0,73;0,04;30,91;7838,00;0,41;17115,00;26,94;1,19;1 oz;142,00;5 package,  (5 oz);1064,00;0,00;0,05;41,00;760,00;86,00;1200,00;0,12;415,00;96,00;0,05;0,09;0,00;0,02;0,08
CHEESE;CHEESE,ROQUEFORT;1039,00;0,00;0,28;0,00;0,00;0,08;90,00;0,00;0,00;369,00;0,00;0,00;0,00;0,51;1731,00;0,91;0,00;290,00;0,41;0,59;0,00;0,00;1,65;8474,00;0,06;19263,00;30,64;1,19;1 oz;85,00;1 package,  (3 oz);662,00;0,03;0,04;30,00;392,00;91,00;1809,00;0,09;1047,00;294,00;0,04;0,09;0,00;0,00;0,00
CHEESE;CHEESE,SWISS;1040,00;0,00;0,14;70,00;0,00;0,23;92,00;16,00;0,00;380,00;0,00;0,00;0,01;0,09;0,30;26,93;0,00;214,00;0,21;0,75;1320000052,00;0,06;1,55;7274,00;0,68;17779,00;1,13;5,50;1 cup, diced;244,00;1 cup, melted;791,00;0,04;0,00;38,00;567,00;77,00;192,00;0,19;830,00;220,00;0,15;0,08;0,00;0,03;0,09
CHEESE;CHEESE,TILSIT;1041,00;0,00;0,23;0,00;0,00;0,10;102,00;0,00;0,00;340,00;0,00;0,00;0,01;0,14;0,24;1,03;0,00;236,00;0,25;0,59;0,00;0,06;42,86;7136,00;0,50;16775,00;25,98;1,19;1 oz;170,00;1 package,  (6 oz);700,00;0,03;0,02;13,00;500,00;65,00;753,00;0,13;1045,00;249,00;0,08;0,07;0,00;0,00;0,00
